State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA.AL,US,Energy ,All GHG,127.8818648,131.8970056,137.8009754,140.1051657,140.1629377,149.9740866,154.0950603,150.4382024,148.1038921,149.9150459,155.855008,146.0264414,149.0988171,150.1703181,152.0742388,152.3549988,154.4457272,157.0567258,152.4808685,133.2293286,145.0466899,140.6980574,133.3879503,130.6854008,132.2326906,127.549803,121.7394996,117.6675578,120.250339
USA.AL,US,Fugitive Emissions ,All GHG,16.57996143,16.33996735,15.31637794,13.70259221,15.60185537,17.61675417,15.68040855,14.13997546,14.16545684,13.84361994,13.83846605,12.59475217,10.85418577,11.10730795,10.71104577,9.586097786,9.30585978,10.44734121,13.68728174,13.6159749,12.98461779,11.34630669,10.69000855,10.32952871,9.735871598,7.986775337,7.072883566,8.820791322,7.542014032
USA.AL,US,Fugitive Emissions ,CH4,16.48647451,16.23361794,15.22897806,13.61555569,15.47369173,17.47467842,15.59046632,14.06424627,14.09449324,13.79105041,13.77732066,12.54450234,10.78993028,11.02953515,10.59913694,9.466022904,9.135686513,10.33293411,13.60057295,13.49574442,12.85885193,11.17181584,10.69000855,10.32952871,9.735871598,7.986775337,7.072883566,8.820791322,7.542014032
USA.AL,US,Fugitive Emissions ,CO2,0.093486916,0.106349412,0.087399882,0.08703652,0.128163646,0.142075742,0.089942233,0.075729188,0.070963597,0.052569526,0.061145384,0.050249822,0.064255494,0.077772804,0.111908824,0.120074882,0.170173267,0.114407101,0.086708785,0.120230477,0.12576586,0.174490848,0,0,0,0,0,0,0
USA.AL,US,Industrial Processes ,All GHG,3.442879026,3.379383745,3.38293401,4.127819901,4.550895956,4.790454979,5.023647106,7.681095819,7.939101975,7.825578793,7.936824844,7.973591067,8.538507354,8.93666099,9.231217992,9.132229535,9.687624947,9.620206256,9.28497879,7.474931216,8.618702786,7.684477516,8.005673624,8.240502848,8.599397399,8.528427397,8.264017228,8.232741442,8.234384319
USA.AL,US,Industrial Processes ,CH4,0.205119265,0.104667807,0.053409658,0.027253763,0.01390699,0.038015705,0.01939857,0.00989866,0.07130666,0.151229235,1.199096975,0.611872564,0.312224984,0.159321477,0.081298213,0.041484673,0.021168708,0.010801921,1.341481073,0.684528008,0.364970859,0.186236526,0.095032364,0.048492906,0.024744853,0.012626749,0.00644315,0.003287796,0.001677689
USA.AL,US,Industrial Processes ,CO2,2.927654502,2.87970296,2.857824859,3.543432033,3.846995944,3.835750627,3.895356887,6.390393156,6.562560193,6.304451838,6.336726989,6.303204931,6.806071875,7.158706078,7.411657364,7.263864201,7.737490259,7.5749314,7.114189146,5.16844717,6.174258198,5.20371273,5.523100071,5.741444503,6.035405418,5.93005016,5.648235022,5.633738087,5.627878792
USA.AL,US,Industrial Processes ,F-Gas,0.515224524,0.499680785,0.525109151,0.584387868,0.703900011,0.954704352,1.128290219,1.290702663,1.376541782,1.521126956,1.600097856,1.670386135,1.73243548,1.777954912,1.819560628,1.868365334,1.950134689,2.045274856,2.170789644,2.306484046,2.444444588,2.480764785,2.482573553,2.499058345,2.563991981,2.598377237,2.615782206,2.599003355,2.606505528
USA.AL,US,Industrial Processes ,N2O,1.016391568,1.306260292,1.312897559,1.374338549,1.45011566,1.479697984,1.591017415,1.554746852,1.516919983,1.494454629,1.537445471,1.575598615,1.639079769,1.746843009,1.88710038,1.897788383,2.161777894,2.205857193,2.269003895,2.295664551,2.328788383,2.161139867,1.970569687,1.969636844,1.930991019,1.899792891,1.863625732,1.828690985,1.789207593
USA.AL,US,Industry,All GHG,25.45039513,25.66034578,28.69367544,26.49580888,27.52226396,28.23741213,29.06954962,29.11346794,25.93994741,26.14305188,25.51230932,22.04180205,22.01646318,23.29076492,23.73407308,22.30553749,21.78384778,21.14826718,20.77890125,17.1612707,18.49794386,18.96262585,21.00646254,20.74087195,21.70337976,20.62008789,20.71014017,20.47827815,21.38728467
