GeoName,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States *,"311-316,322-326",   Nondurable goods manufacturing,Thousands of dollars,258967000,268976000,294488000,294602000,311479000,310394000,330587000,367803000,394299000,442508000,459613000,445984000,475530000,482608000,498786000,503385000,517695000,528781000,547847000,512267000,547091000,607844000,603060000,579268000
United States *,311-312,    Food and beverage and tobacco product manufacturing,Thousands of dollars,57026000,57879000,76956000,74035000,83266000,82582000,82332000,77346000,77572000,91229000,88381000,92182000,122295000,103938000,90965000,97107000,102953000,108407000,128358000,126825000,123960000,118385000,128678000,143047000
United States *,313-314,    Textile mills and textile product mills,Thousands of dollars,6401000,6625000,7204000,6863000,5712000,5826000,1280000,5002000,4438000,4646000,4182000,3690000,3559000,3975000,3452000,4213000,4679000,5167000,5358000,5968000,4794000,3595000,3726000,4274000
United States *,315-316,"    Apparel, leather, and allied product manufacturing",Thousands of dollars,6819000,5331000,5507000,5956000,4777000,5111000,3139000,2389000,2208000,1581000,875000,807000,969000,1701000,1689000,1555000,1746000,1267000,1232000,1259000,1233000,1243000,1326000,3809000
United States *,322,    Paper manufacturing,Thousands of dollars,22039000,22245000,24994000,27195000,19323000,20518000,17556000,19746000,18650000,25144000,22547000,18380000,28894000,25669000,22885000,22296000,25354000,25372000,27811000,26722000,23276000,26593000,25902000,27123000
United States *,323,    Printing and related support activities,Thousands of dollars,4739000,5582000,7158000,7700000,7722000,8710000,9295000,9686000,10990000,13014000,13487000,12077000,11502000,12555000,12046000,12085000,12804000,12571000,13446000,14096000,13375000,13774000,13531000,16965000
United States *,324,    Petroleum and coal products manufacturing,Thousands of dollars,35276000,37791000,32485000,39849000,54604000,37762000,67267000,89695000,125428000,122061000,136413000,135683000,91298000,104520000,139097000,138308000,129290000,135607000,122104000,62030000,108064000,161309000,137579000,88475000
United States *,325,    Chemical manufacturing,Thousands of dollars,104943000,109787000,114319000,109200000,112705000,126922000,127257000,140872000,133852000,163348000,172535000,168779000,192556000,205931000,205073000,200682000,213637000,217077000,216604000,242137000,243223000,252505000,261792000,264760000
United States *,326,    Plastics and rubber products manufacturing,Thousands of dollars,21722000,23736000,25866000,23804000,23370000,22963000,22462000,23067000,21163000,21486000,21193000,14385000,24458000,24320000,23579000,27138000,27230000,23312000,32936000,33229000,29167000,30440000,30527000,30815000
United States *,42,  Wholesale trade,Thousands of dollars,138415000,146573000,149379000,158392000,149882000,148551000,162986000,188843000,213419000,235357000,256485000,277359000,270663000,307521000,315950000,350248000,372441000,391973000,423452000,411894000,409129000,423830000,437734000,451069000
United States *,44-45,  Retail trade,Thousands of dollars,134696000,152148000,152421000,152910000,159025000,167695000,179976000,180821000,194607000,198722000,182084000,169540000,187223000,194933000,190438000,205441000,218782000,215842000,230011000,242689000,242064000,248884000,264015000,334049000
United States *,48-49,  Transportation and warehousing,Thousands of dollars,75336000,81531000,79674000,83017000,86468000,79996000,94155000,108129000,120859000,146149000,132479000,145372000,136874000,162715000,165327000,170341000,177389000,192585000,211216000,213383000,217563000,226407000,231962000,170540000
United States *,481,   Air transportation,Thousands of dollars,16078000,10888000,8996000,5315000,470000,-1903000,4741000,7197000,9578000,16138000,16483000,13744000,19577000,31864000,28971000,30503000,31844000,37869000,47280000,52625000,52377000,49042000,55611000,5153000
United States *,482,   Rail transportation,Thousands of dollars,5098000,5860000,5733000,6881000,7026000,6254000,7545000,8834000,10786000,13931000,13432000,17182000,14816000,16502000,16518000,17402000,19315000,20525000,19904000,17934000,19493000,20787000,19326000,17388000
United States *,483,   Water transportation,Thousands of dollars,2804000,2736000,2613000,4023000,4260000,3158000,4123000,4673000,4008000,7578000,8270000,9868000,9448000,8146000,7223000,6376000,8904000,8256000,7617000,5632000,4892000,5712000,5438000,1678000
United States *,484,   Truck transportation,Thousands of dollars,25651000,30215000,32052000,35338000,33780000,33561000,36520000,40575000,43541000,48015000,43381000,42032000,37977000,40905000,43709000,45686000,44494000,49986000,52968000,51933000,55560000,59726000,57622000,60438000
